ID,Arrondissement,Nom_parc_lieu,Proximite_jeux_repere,Intersection,Etat,Remarques,Precision_localisation,X,Y,Latitude,Longitude
689,Saint-Laurent,Saint-Laurent,module de jeux,rue Dutrisac/place Dutrisac,,,orthophotographies,290030.28,5042937.81,45.5262012393035,-73.6890790622582
690,Saint-Laurent,Saint-Laurent,baseball,rue Poirier/rue Muir,,,orthophotographies,290253.06,5043086.18,45.5275410087539,-73.6862314970658
691,Saint-Laurent,Saint-Laurent,,rue Poirier/rue Muir,,,localisation approx.,290251.52,5043057.64,45.5272841638709,-73.6862503646768
692,Saint-Laurent,Saint-Laurent,,rue Poirier/rue Muir,,,localisation approx.,290257.64,5043066.18,45.5273611374465,-73.686172270047
693,Saint-Laurent,Saint-Laurent,intérieur du chalet,rue Poirier/rue Barré,,,orthophotographies,290154.77,5043073.2,45.5274221519237,-73.6874894214772
694,Saint-Laurent,Painter,tennis,rue Meloche,,accès restreint,orthophotographies,291037.02,5043227.51,45.5288286663448,-73.6761991761614
695,Saint-Laurent,Painter,chalet,rue Meloche,,,orthophotographies,291059.32,5043263.6,45.5291538566802,-73.6759146963096
696,Saint-Laurent,Caron,,boul Montpellier/rue Muir,,,orthophotographies,291357.42,5042317.93,45.5206501956637,-73.6720723516784
697,Saint-Laurent,Caron,,rue Muir/place Fortier,,,orthophotographies,291407.82,5042407.96,45.5214612881261,-73.6714296673574
698,Saint-Laurent,Goulet,,rue Connaught/rue d'Oxford,,,orthophotographies,289031.43,5042470.32,45.521972723976,-73.7018510225909
699,Saint-Laurent,Marlborough,tennis (intérieur),rue Beauzèle/rue Carroll,,accès restreint,orthophotographies,287612.26,5042594.14,45.5230533524969,-73.7200218115626
700,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,Grands Parcs,,287610.5,5042595.22,45.523063027299,-73.7200443791995
800,Saint-Laurent,Marlborough,tennis (extérieur),rue Beauzèle/rue Carroll,,,orthophotographies,287541.47,5042506.13,45.522259660292,-73.7209248943373
701,Saint-Laurent,Marlborough,piscine,rue Beauzèle/rue Carroll,,accès restreint,orthophotographies,286836.75,5041984.35,45.517546708349,-73.7299267558719
801,Le Sud-Ouest,Angrignon,sentier,,,Grands Parcs,,286961.66,5041939.21,45.5171437303837,-73.7283262977365
802,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,Grands Parcs,,286876.75,5041990.6,45.5176039773336,-73.7294149948796
702,Saint-Laurent,Noël-Nord,roller hockey,rue Baker/rue Geoffrion,,,orthophotographies,287050.53,5041774.41,45.5156630722198,-73.7271828257003
803,Le Sud-Ouest,Angrignon,sentier,,,Grands Parcs,,287214.39,5040942.98,45.5081857286881,-73.7250557096298
703,Saint-Laurent,Noël-Nord,soccer,rue McCarthy,,,orthophotographies,287072.84,5041713.52,45.5151157308424,-73.7268950711347
804,Le Sud-Ouest,Angrignon,,,,Grands Parcs,,287930.92,5040778.31,45.5067216671477,-73.7158801622499
704,Saint-Laurent,Noël-Nord,module de jeux,rue Baker/rue Geoffrion,,,orthophotographies,287793.18,5040721.29,45.5062052358166,-73.7176408844989
805,Le Sud-Ouest,Angrignon,,,,Grands Parcs,,288975.15,5041361.63,45.5119950659473,-73.702535656865
705,Saint-Laurent,Noël-Sud,tennis,rue Noorduyn,,,orthophotographies,287242.45,5040233.58,45.5018030005472,-73.7246712146518
806,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,Grands Parcs,,288169.73,5041317.46,45.511578866842,-73.7128423235836
706,Saint-Laurent,Noël-Sud,module de jeux,rue Matis,,,orthophotographies,290885.13,5043202.41,45.5285997919296,-73.6781430103311
807,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,Grands Parcs,,291237.58,5040603.59,45.5052216034387,-73.6735589391137
707,Saint-Laurent,Jerry-Shears,,rue Pierre-Dagenais/chemin du Bois-Franc,,,orthophotographies,288146.81,5041909.53,45.5169059730845,-73.7131557748133
808,Le Sud-Ouest,Angrignon,,,,Grands Parcs,,288100.83,5041497.87,45.513200613221,-73.7137302779272
708,Saint-Laurent,Philippe-Laheurte,soccer,ave Ernest-Hemingway/rue Robert-Choquette,,,orthophotographies,287855.09,5041170.07,45.5102450254455,-73.7168641178332
809,LaSalle,des Rapides,chalet,boul LaSalle/boul Bishop-Power,,Grands Parcs,,286564.58,5040835.68,45.5072035191521,-73.7333677379423
709,Saint-Laurent,Philippe-Laheurte,module de jeux,ave Ernest-Hemingway/boul Cavendish,,,orthophotographies,289559.44,5042286.18,45.5203275111664,-73.6950863619881
810,LaSalle,des Rapides,chalet,boul LaSalle/40e ave,,Grands Parcs,,290554.16,5041486.87,45.5131560652629,-73.6823303139621
710,Saint-Laurent,Philippe-Laheurte,pavillon,ave Ernest-Hemingway/rue John-Lyman,,,orthophotographies,287113.26,5041149,45.5100370116338,-73.7263573634741
811,Ville-Marie,du Mont-Royal,,ave du Parc/ave Duluth Ouest,,Grands Parcs,,286911.65,5041037.61,45.5090295436208,-73.7289335123076
711,Saint-Laurent,Sir-Edmund-Hillary,,rue de l'Everest (face au #1600),,,orthophotographies,288148.52,5041524.09,45.5134376903967,-73.7131207952539
812,Ville-Marie,du Mont-Royal,chalet,,,Grands Parcs,,293225.79,5049161.46,45.5822640143526,-73.6483181687252
712,Saint-Laurent,Carré Square Magellan,,rue de l'Écu (face au #2724),,,orthophotographies,293258.41,5049125.89,45.5819444876536,-73.6478993194659
813,Ville-Marie,du Mont-Royal,chalet,,,Grands Parcs,,293695.93,5049123.19,45.5819273133318,-73.6422926904389
713,Saint-Laurent,Roman-Zytynsky,,rue Quenneville/rue Varry,,,orthophotographies,293229.15,5049165,45.5822959241387,-73.6482751958691
814,Ville-Marie,du Mont-Royal,sentier,,,Grands Parcs / auge pour chevaux,orthophotographies,293604.53,5049188.88,45.5825169452518,-73.6434654341296
714,Saint-Laurent,Robert-Mitchell,,rue Crevier/rue Saint-Louis,,,orthophotographies,293699.31,5049065.69,45.5814099662835,-73.6422480710944
815,Ville-Marie,du Mont-Royal,sentier,,,Grands Parcs,,293869.13,5049690.94,45.5870388266198,-73.6400859379683
715,Saint-Laurent,Square du Nordet,,rue des Équinoxes/rue des Montérégiennes,,,orthophotographies,293661.78,5049153.43,45.5821988753156,-73.6427309924654
816,Ville-Marie,du Mont-Royal,chemin,,,Grands Parcs,,293174.09,5050374.77,45.5931808381646,-73.6490095623476
716,Saint-Laurent,du Bois-Franc,,rues des Andes/rue Modigliani,,,orthophotographies,293872.04,5049677.71,45.5869198252259,-73.6400483485747
817,Ville-Marie,du Mont-Royal,chalet,,,Grands Parcs,,293698.83,5050356.08,45.5930212353444,-73.6422835538294
717,Saint-Laurent,du Bois-Franc,,rue de l'Équatuer/rue du Chinook,,,orthophotographies,294398.56,5049327.08,45.5837728327133,-73.633293231421
818,Ville-Marie,du Mont-Royal,chalet,,,Grands Parcs,,294526.9,5049771.29,45.5877718638569,-73.6316579172469
718,Saint-Laurent,Petit,,rue Poirier/chemin Laval,,,orthophotographies,293697.39,5050447.71,45.5938457228688,-73.6423040940278
819,Ville-Marie,du Mont-Royal,chalet,près du lac des castors,,Grands Parcs,,294523.2,5049825.77,45.588262035057,-73.6317064820244
719,Saint-Laurent,Dr-Bernard-Paquet,,rue Jean-Gascon/rue Guy-Hoffmann,,,orthophotographies,294245,5051073.87,45.5994885989553,-73.6352988408423
820,Ville-Marie,du Mont-Royal,chemin,,,Grands Parcs,,294210.59,5051241.77,45.6009988820841,-73.6357435658828
720,Saint-Laurent,Raymond-Lagacé,,rue Jean-Gascon/rue Pierre-Dagenais,,,orthophotographies,294228.63,5051034.86,45.5991373284035,-73.6355078334792
821,Ville-Marie,du Mont-Royal,sentier,près du lac des castors,,Grands Parcs,,293944.77,5051970.93,45.6075559416117,-73.6391672721201
721,Saint-Laurent,place Rodolphe-Rousseau,,boul Edouard-Laurin/rue Gohier,,,orthophotographies,293992.41,5052005.61,45.6078687429062,-73.6385572832696
822,Ville-Marie,du Mont-Royal,stationnement,,,Grands Parcs,,294753.66,5051802.5,45.606052529743,-73.6287936212261
722,Saint-Laurent,Guillaume-Bruneau ou Henri-Thomas-Scott,,rue Jean-Gascon/rue Vittorio-Fiorucci,,,orthophotographies,293931.2,5052094.51,45.6086677317225,-73.6393439963553
823,Ville-Marie,du Mont-Royal,,ave du Parc/rue Prince Arthur Ouest,,Grands Parcs,,294737.66,5051650.25,45.6046823154285,-73.6289956000353
723,Saint-Laurent,bassin du Suroît,,rue de l'Équatuer/rue du Chinook,,,orthophotographies,294667.21,5051845.29,45.6064363097501,-73.6299027921314
824,Ville-Marie,du Mont-Royal,,près de rue Hill Parck Circle,,Grands Parcs,,295240.18,5051149.11,45.6001800237781,-73.6225436709772
724,Montréal-Nord,Oscar,abri-soleil,ave Oscar/rue de Mayenne,,,orthophotographies,295171.39,5051072.73,45.5994917876783,-73.6234239546935
825,Montréal-Nord,Oscar,intérieur du chalet,ave Oscar/rue de Mayenne,,accès restreint,orthophotographies,294503.7,5052927.51,45.6161719768647,-73.6320218369348
725,Ville-Marie,du Mont-Royal,sentier,près du lac des castors,,Grands Parcs,,294505.13,5052946.76,45.6163452139267,-73.6320039075628
826,Montréal-Nord,Oscar,intérieur du chalet,ave Oscar/rue de Mayenne,,accès restreint,orthophotographies,295178.53,5052834.13,45.6153413939226,-73.6233671696083
726,Ville-Marie,du Mont-Royal,sentier,près du lac des castors,,Grands Parcs,,295208.62,5052862.62,45.6155981695257,-73.6229819147581
827,Montréal-Nord,Ottawa,intérieur de la bibliothèque,ave de Belleville/rue Fleury Est,,accès restreint,orthophotographies,295138.44,5052853.46,45.6155147734799,-73.6238815881962
727,Ville-Marie,du Mont-Royal,,ave des Pins Ouest/rue Peel,,Grands Parcs,,295763.22,5052206.31,45.6096999695726,-73.6158586163697
828,Montréal-Nord,Ottawa,intérieur du chalet,ave de Belleville/rue Fleury Est,,accès restreint,orthophotographies,295765.58,5052232.58,45.6099363840953,-73.6158288459282
728,Ville-Marie,du Mont-Royal,,ave du Parc/ave Duluth Ouest,,Grands Parcs,,295453.75,5053476.26,45.6211231825371,-73.6198505960804
829,Villeray–Saint-Michel–Parc-Extension,Frédéric-Back,,rue des Regrattiers/rue Paul-Boutet,,Grands Parcs,,295713.16,5053111.75,45.6178466800687,-73.6165172941125
729,Montréal-Nord,Ottawa,soccer,ave de Belleville/rue Prieur Est,,,orthophotographies,295447.02,5053465.4,45.6210253712561,-73.6199366889405
830,Villeray–Saint-Michel–Parc-Extension,Jarry,,,,Grands Parcs,,295220.42,5054148.33,45.6271674367124,-73.6228558790487
730,Montréal-Nord,Ottawa,module de jeux,ave de Belleville/rue Fleury Est,,,orthophotographies,295691.42,5053154.61,45.6182320595318,-73.6167968584383
831,Montréal-Nord,Ménard,intérieur du chalet,place Ménard/ave Plaza,,accès restreint,orthophotographies,295192.43,5054126.75,45.6269728686784,-73.6232144180064
731,Villeray–Saint-Michel–Parc-Extension,Jarry,,,,Grands Parcs,,293975.19,5050975.97,45.5986035216403,-73.6387552080074
832,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,293579.72,5051154.84,45.6002067689665,-73.6438285408623
732,Montréal-Nord,Ménard,module de jeux,place Ménard/ave Plaza,,,orthophotographies,294731.06,5051420.55,45.6026153222448,-73.6290754695459
833,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,296518.18,5033839.09,45.4444342093047,-73.6058689639818
733,Montréal-Nord,Eusèbe-Ménard,sentier,boul Gouin Est/ave de Bruxelles,,,orthophotographies,288382.02,5041933.79,45.5171298510797,-73.7101459913431
834,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,296489.61,5033287.95,45.4394744306387,-73.6062248749791
734,Montréal-Nord,Sabrevois,pataugeoire,ave des Récollets/rue Sabrevois,,,orthophotographies,296284.95,5033570.57,45.4420151275477,-73.6088457604697
835,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,297249.46,5033955.79,45.4454926170262,-73.5965225994334
735,Montréal-Nord,Pilon,abri-soleil,rue Arthur-Champoux/ave Gariépy,,,orthophotographies,296954.34,5033280.75,45.4394150110186,-73.6002845085684
836,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,297040.89,5034005.64,45.4459389084864,-73.5991896436921
736,Montréal-Nord,Pilon,parc à chien,rue Arthur-Champoux/ave Gariépy,,,orthophotographies,296905.5,5033962.89,45.4455527062677,-73.6009197316599
837,Montréal-Nord,Maurice-Bélanger,intérieur du chalet,ave Hébert/rue Forest,,accès restreint,orthophotographies,296970.77,5033902.65,45.4450113702856,-73.6000843921209
737,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,296994.83,5033863.79,45.4446619573138,-73.5997762068995
838,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,297091.99,5033529.55,45.4416553729242,-73.5985289430859
738,Montréal-Nord,Maurice-Bélanger,,rue Forest/ave de l'Hôtel-de-Ville,,,orthophotographies,296429.37,5033315.5,45.4397216210676,-73.6069953405232
839,Montréal-Nord,Paul-Sauvé,intérieur du chalet,ave Éthier/rue de Bayonne,,accès restreint,orthophotographies,296876.18,5033180.01,45.438507618873,-73.6012819390826
739,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,297324.07,5031863.29,45.4266640082063,-73.5955370428475
840,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,298157.36,5041559.74,45.5139256537971,-73.5850192841203
740,Montréal-Nord,Paul-Sauvé,pataugeoire,ave Éthier/rue de Bayonne,,,orthophotographies,295775.91,5030668.8,45.415897079633,-73.6152995043729
841,Plateau-Mont-Royal,Jeanne-Mance,,,,Grands Parcs,,298013.69,5040425.75,45.5037201625941,-73.586842424373
741,Montréal-Nord,Paul-Sauvé,,boul Henri-Bourassa Est/ave Bellevois,,,orthophotographies,297968.62,5040392.46,45.5034201653086,-73.5874187076881
842,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,297993.79,5040245.38,45.5020969236876,-73.5870945759392
742,Montréal-Nord,Aimé-Léonard,sentier,boul Gouin Est/boul Sainte-Gertrude,,,orthophotographies,297985.9,5040244.65,45.5020902778169,-73.5871955288026
843,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,297988.78,5040500.19,45.5043897620654,-73.5871622236582
743,Montréal-Nord,Aimé-Léonard,module de jeux,boul Gouin Est/boul Sainte-Gertrude,,,orthophotographies,297633.33,5040316.15,45.5027301319067,-73.5917081726892
844,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,297051.25,5039859.87,45.4986181098056,-73.5991495321483
744,Montréal-Nord,Aimé-Léonard,extérieur du chalet,boul Gouin Est/boul Sainte-Gertrude,,,orthophotographies,297922.91,5040477.85,45.5041880911219,-73.5880048385643
845,Montréal-Nord,Saint-Laurent,intérieur du chalet,ave Salk/rue de la Gare,,accès restreint,orthophotographies,297823.63,5040457.05,45.5039999381889,-73.5892750088408
745,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,297034.91,5039898.87,45.4989688666521,-73.5993592283718
846,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,298561.12,5041257.25,45.5112074551243,-73.5798477077721
746,Montréal-Nord,Saint-Laurent,soccer,ave Alfred/boul Henri-Bourassa Est,,,orthophotographies,297497.16,5040174.42,45.5014533736525,-73.5934485576127
847,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,297217.35,5039731.56,45.4974653468355,-73.5970222112183
747,Montréal-Nord,Saint-Laurent,sentier,rue de la Gare/ave Edger,,,orthophotographies,297163.55,5039699.85,45.4971794199827,-73.5977101033573
848,Montréal-Nord,Charleroi,intérieur du chalet,ave Alfred/rue Louis-Francoeur,,accès restreint,orthophotographies,297206.75,5039744.09,45.4975779818353,-73.5971580350051
748,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,298309.17,5040579.06,45.5051025221477,-73.5830632860766
849,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,295750.32,5046671.85,45.5598991674733,-73.6159214617419
749,Montréal-Nord,Charleroi,baseball,rue Louis-Francoeur (face au #5273),,,orthophotographies,298102.57,5041596.63,45.5142570807954,-73.5857210456158
850,Montréal-Nord,Lacordaire,intérieur du chalet,boulevard Lacordaire (#12576),,accès restreint,orthophotographies,295111.5,5043838.88,45.5343985453147,-73.6240482953232
750,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,294657.52,5043883.33,45.5347920624094,-73.6298618084324
851,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,298123.35,5041765.4,45.5157759402544,-73.5854573792679
751,Montréal-Nord,Lacordaire,module de jeux,boulevard Lacordaire (#12576),,,orthophotographies,298215.47,5041716.22,45.5153342748984,-73.5842776355913
852,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,298209.49,5041664.65,45.5148701708428,-73.5843534822615
752,Montréal-Nord,Henri-Bourassa,extérieur du chalet,ave Laurier/rue Pascal,,,orthophotographies,298177.52,5041685.03,45.5150532553701,-73.584762948647
853,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,298045.81,5041902.52,45.5170090539287,-73.5864517360189
753,Montréal-Nord,Henri-Bourassa,soccer,ave Laurier/rue Pascal,,,orthophotographies,298291.64,5041660.97,45.5148378283216,-73.5833019774264
854,Plateau-Mont-Royal,La Fontaine,,,,Grands Parcs,,297969.43,5042000.67,45.5178915025215,-73.58743074518
754,Montréal-Nord,Henri-Bourassa,module de jeux,ave Laurier/rue Pascal,,,orthophotographies,298012.61,5041969.86,45.5176146836084,-73.5868776186672
855,Lachine,René-Lévesque,,,,Grands Parcs,,298486.85,5041559.2,45.5139238555071,-73.5808021323056
755,Montréal-Nord,Le Carignan,intérieur du chalet,ave P.-M.-Favier/rue Renoir,,,orthophotographies,297851.71,5041889.59,45.5168907974043,-73.5889359752777
856,Lachine,René-Lévesque,,,,Grands Parcs,,299344.31,5043250.82,45.5291529550049,-73.5698463258569
756,Montréal-Nord,Le Carignan,intérieur du centre communautaire,ave P.-M.-Favier/rue Renoir,,,orthophotographies,299512.98,5043258.32,45.5292217427946,-73.5676870151644
857,Montréal-Nord,Monty,intérieur du chalet,ave Monty (entre le #12357 et le #12351),,accès par la ruelle,orthophotographies,299265.82,5043164.23,45.5283731662185,-73.5708502130028
757,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,Grands Parcs,,299306.41,5043102.94,45.5278219763884,-73.5703298808861
858,Montréal-Nord,Monty,extérieur du chalet,ave Monty (entre le #12357 et le #12351),,accès par la ruelle,orthophotographies,299257.25,5043098.84,45.5277846938052,-73.5709591887615
758,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,Grands Parcs,,299541.25,5043136.32,45.5281241538897,-73.5673237794031
859,Montréal-Nord,Tardif,intérieur du chalet,rue Tardif ( à l'est de #6453),,accès par la ruelle,orthophotographies,299513.48,5043067.21,45.5275020654384,-73.5676785515887
759,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,Grands Parcs,,299632.73,5043030.91,45.5271763183111,-73.5661515194688
860,Montréal-Nord,Tardif,module de jeux,rue Tardif ( à l'est de #6453),,accès par la ruelle,orthophotographies,299509.57,5042934.05,45.5263038106635,-73.5677271698308
760,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,Grands Parcs,,299117.23,5042996.46,45.526862311629,-73.5727505586166
861,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,Grands Parcs,,299260.1,5042802.72,45.5251201143084,-73.5709193542654
761,Montréal-Nord,Gouin,,boul Gouin Est (face au #6700),,,orthophotographies,299179.09,5042790.75,45.5250117550577,-73.5719562703872
862,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,Grands Parcs,,291458.52,5032175.35,45.429384794671,-73.6705027735473
762,Montréal-Nord,Gouin,parc à chien,boul Gouin Est (face au #6700),,,orthophotographies,299570.13,5042528.53,45.5226552404959,-73.5669475633891
863,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,Grands Parcs,,292775.13,5049257.58,45.5831212844373,-73.654095514485
763,Montréal-Nord,Calixa-Lavallée (école),basketball,boul Henri-Bourassa Est/ave Pelletier,,privé (commission scolaire),orthophotographies,291463.33,5032183.72,45.4294602039142,-73.6704415291883
864,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,Grands Parcs,,292531.11,5048822.74,45.5792042146597,-73.6572116336153
764,Montréal-Nord,Racette,,ave Racette (face au #11424),,,orthophotographies,292754.34,5049100.58,45.5817081960568,-73.6543580604167
865,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,Grands Parcs,,292339.25,5048740.64,45.5784620465188,-73.6596679941887
765,Montréal-Nord,piste cyclabe (boul Gouin),piste cyclable,à la hauteur de l'intersection du boul Gouin Est et de l'ave,,,localisation approx.,292515.82,5048777.67,45.5787983925638,-73.657406423362
866,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,Grands Parcs,,292283.96,5048512,45.5764036879989,-73.6603706028604
766,Saint-Laurent,Square du Rambler,,,,,orthophotographies,292157.6,5048430.24,45.575665704342,-73.6619875578576
867,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,Grands Parcs,,292036.85,5048398.59,45.5753787044645,-73.6635338992989
767,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,Grands Parcs,,304219.18,5060032.98,45.6801844627021,-73.5074559127872
868,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,Grands Parcs,,302969.03,5060942.37,45.6883651093504,-73.5235073560207
768,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,Grands Parcs,,303607.22,5061787,45.6959665925681,-73.5153158723665
869,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,Grands Parcs,,303573.41,5061624.86,45.6945075774194,-73.5157495995575
769,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,Grands Parcs,,305151.96,5060290.26,45.6824996602096,-73.4954817477005
770,L'Île-Bizard–Sainte-Geneviève,parc nature de Boisé-de-l'Île-Bizard,,,,Grands Parcs,,273552.25,5041917.13,45.5164730454626,-73.8999586819804
771,Saint-Laurent,parc nature du Bois-de-Liesse,,,,Grands Parcs,,284788.56,5041373.06,45.5119903475464,-73.7561180604378
772,Saint-Laurent,parc nature du Bois-de-Liesse,,,,Grands Parcs,,284792.52,5041364.37,45.5119122657151,-73.7560670239591
773,Saint-Laurent,parc nature du Bois-de-Liesse,,,,Grands Parcs,,284215.1,5040734.85,45.506230834807,-73.7634306680711
774,Saint-Laurent,parc nature du Bois-de-Liesse,,,,Grands Parcs,,284206.41,5040750.12,45.5063679827899,-73.7635425163926
775,Saint-Laurent,parc nature du Bois-de-Liesse,,,,Grands Parcs,,283843.55,5040006.84,45.4996688952515,-73.7681543430062
776,Saint-Laurent,parc nature du Bois-de-Liesse,,,,Grands Parcs,,283822.24,5040012.46,45.4997188254738,-73.7684272585848
778,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,Grands Parcs,,270516.62,5036117.03,45.4641400163233,-73.9384073436021
779,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,Grands Parcs,,270560.49,5036094.26,45.4639372783707,-73.9378447753638
780,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,Grands Parcs,,270578.49,5035960.7,45.4627363567996,-73.9376053053361
781,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,Grands Parcs,,270709.71,5036933.13,45.4714929177739,-73.9359948389611
782,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,Grands Parcs,,270766.4,5036887.29,45.4710832043718,-73.9352666530871
783,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature du Ruissesau-De-Montigny,,,,Grands Parcs,,296645.82,5053358.79,45.6200811746924,-73.6045622819175
784,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,Grands Parcs,localisation approx.,297995.91,5043541.48,45.5317565636143,-73.587113200291
785,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,Grands Parcs ,localisation approx.,297900.14,5043482.44,45.5312243579536,-73.5883385165854
786,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,Grands Parcs,localisation approx.,297958.47,5043593.33,45.5322227627523,-73.5875932707014
787,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,Grands Parcs ,localisation approx.,298031.92,5043669.66,45.5329103257953,-73.5866539337464
788,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,Grands Parcs ,localisation approx.,297827.42,5043709.26,45.5332646451698,-73.589272774503
